Toko Fashion,,,,,,,,,,,,,,,,,,,
Order ID,Order Date,Customer Name,City,Product Name,Unit Price,Quantity,Discount (%),Subtotal,Discount Amount,Total Sales,Shipping Fee,Grand Total,Payment Method,,,,,,
ORD00006,5/19/2025 19:06,Ani Wijaya,Pontianak,Hoodie,"334,000",2,0,"668,000",0,"668,000","17,000","855,000",e-Wallet,,FashionKita,1,XXL,Polyester,Pria
ORD00006,5/19/2025 19:06,Ani Wijaya,Pontianak,Kaos Pendek,"85,000",2,0,"170,000",0,"170,000","17,000","855,000",e-Wallet,,OutfitNow,1,L,Cotton Combed,Pria
ORD00007,8/8/2025 18:15,Ani Halim,Wamena,Hijab,"47,000",4,10,"188,000","18,800","169,200","20,000","834,500",Transfer Bank,,OutfitNow,1,XXL,Viscose,Wanita
ORD00007,8/8/2025 18:15,Ani Halim,Wamena,Kaos Polo,"194,000",2,10,"388,000","38,800","349,200","20,000","834,500",Transfer Bank,,StyleMart,1,XXL,Cotton Combed,Pria
ORD00007,8/8/2025 18:15,Ani Halim,Wamena,Kemeja Formal,"329,000",1,10,"329,000","32,900","296,100","20,000","834,500",Transfer Bank,,StyleMart,1,M,Cotton Combed,Pria
ORD00008,3/2/2025 16:10,Arif Fauziah,Padang,Kaos Pendek,"72,000",2,0,"144,000",0,"144,000","27,000","2,000,000",Kartu Kredit,,FashionHub,1,XXL,Voal,Wanita
ORD00008,3/2/2025 16:10,Arif Fauziah,Padang,Dress Casual,"181,000",1,0,"181,000",0,"181,000","27,000","2,000,000",Kartu Kredit,,FashionHub,1,L,Katun Pique,Pria
ORD00008,3/2/2025 16:10,Arif Fauziah,Padang,Celana Jeans,"430,000",2,0,"860,000",0,"860,000","27,000","2,000,000",Kartu Kredit,,FashionHub,1,XL,Twill,Pria
ORD00008,3/2/2025 16:10,Arif Fauziah,Padang,Celana Chino,"394,000",2,0,"788,000",0,"788,000","27,000","2,000,000",Kartu Kredit,,Toko Fashion App,1,L,Katun,Pria
ORD00009,7/7/2025 17:08,Putri Kurniawan,Samarinda,Celana Jeans,"250,000",2,10,"500,000","50,000","450,000","27,000","1,254,600",Kartu Kredit,,Toko Fashion App,1,L,Katun,Wanita
ORD00009,7/7/2025 17:08,Putri Kurniawan,Samarinda,Celana Chino,"315,000",1,10,"315,000","31,500","283,500","27,000","1,254,600",Kartu Kredit,,Toko Fashion App,1,S,Katun,Pria
ORD00009,7/7/2025 17:08,Putri Kurniawan,Samarinda,Dress Casual,"428,000",1,10,"428,000","42,800","385,200","27,000","1,254,600",Kartu Kredit,,Toko Fashion App,1,M,Katun Twill,Pria
ORD00009,7/7/2025 17:08,Putri Kurniawan,Samarinda,Kaos Pendek,"121,000",1,10,"121,000","12,100","108,900","27,000","1,254,600",Kartu Kredit,,Toko Fashion App,2,XL,Stretch Denim,Pria
ORD00010,9/22/2025 16:44,Fitri Iskandar,Semarang,Gamis,"638,000",1,0,"638,000",0,"638,000","24,000","1,531,000",COD,,Toko Fashion App,2,XL,Twill,Pria
ORD00010,9/22/2025 16:44,Fitri Iskandar,Semarang,Kaos Pendek,"145,000",1,0,"145,000",0,"145,000","24,000","1,531,000",COD,,Toko Fashion App,2,XXL,Katun,Wanita
ORD00010,9/22/2025 16:44,Fitri Iskandar,Semarang,Dress Casual,"362,000",2,0,"724,000",0,"724,000","24,000","1,531,000",COD,,Toko Fashion App,2,M,Katun,Pria
ORD00011,3/15/2025 16:09,Yoga Nugroho,Mataram,Hijab,"71,000",4,0,"284,000",0,"284,000","22,000","1,022,000",COD,,FashionHub,4,XXL,Satin,Wanita
ORD00011,3/15/2025 16:09,Yoga Nugroho,Mataram,Celana Pendek,"179,000",4,0,"716,000",0,"716,000","22,000","1,022,000",COD,,FashionHub,4,L,Cotton Combed,Pria
ORD00012,11/1/2025 16:40,Yani Ananda,Banda Aceh,Kemeja Casual,"284,000",1,0,"284,000",0,"284,000","20,000","970,000",COD,,FashionHub,4,XL,Rayon,Wanita
ORD00012,11/1/2025 16:40,Yani Ananda,Banda Aceh,Celana Chino,"232,000",2,0,"464,000",0,"464,000","20,000","970,000",COD,,FashionKita,1,L,Ceruty,Wanita
ORD00012,11/1/2025 16:40,Yani Ananda,Banda Aceh,Kaos Pendek,"101,000",2,0,"202,000",0,"202,000","20,000","970,000",COD,,FashionKita,1,M,Jersey,Pria
ORD00013,10/14/2025 13:26,Fitri Halim,Makassar,Kaos Panjang,"174,000",1,0,"174,000",0,"174,000","27,000","1,521,000",COD,,Toko Fashion App,3,S,Chambray,Pria
ORD00013,10/14/2025 13:26,Fitri Halim,Makassar,Hoodie,"233,000",2,0,"466,000",0,"466,000","27,000","1,521,000",COD,,Toko Fashion App,3,M,Katun,Pria
ORD00013,10/14/2025 13:26,Fitri Halim,Makassar,Celana Pendek,"150,000",4,0,"600,000",0,"600,000","27,000","1,521,000",COD,,Toko Fashion App,3,S,Cotton Combed,Pria
ORD00013,10/14/2025 13:26,Fitri Halim,Makassar,Sweater,"254,000",1,0,"254,000",0,"254,000","27,000","1,521,000",COD,,FashionKita,1,L,Jersey,Pria
ORD00014,4/7/2025 10:40,Galih Budiman,Jayapura,Jaket Bomber,"267,000",1,0,"267,000",0,"267,000","24,000","1,327,000",COD,,FashionKita,1,L,Polyester,Pria
ORD00014,4/7/2025 10:40,Galih Budiman,Jayapura,Kaos Pendek,"135,000",2,0,"270,000",0,"270,000","24,000","1,327,000",COD,,FashionKita,1,XL,Jersey,Pria
ORD00014,4/7/2025 10:40,Galih Budiman,Jayapura,Sweater,"383,000",2,0,"766,000",0,"766,000","24,000","1,327,000",COD,,FashionKita,1,M,Knitted,Pria
ORD00015,11/15/2025 12:53,Putri Puspita,Palu,Kaos Pendek,"120,000",2,0,"240,000",0,"240,000","17,000","773,000",e-Wallet,,OutfitNow,1,L,Nylon,Pria
ORD00015,11/15/2025 12:53,Putri Puspita,Palu,Celana Pendek,"129,000",4,0,"516,000",0,"516,000","17,000","773,000",e-Wallet,,OutfitNow,1,M,Jersey,Pria
ORD00016,7/23/2025 18:00,Eka Rahmawati,Manokwari,Jaket Bomber,"468,000",2,0,"936,000",0,"936,000","24,000","1,610,000",COD,,OutfitNow,1,XXL,Knitted,Pria
ORD00016,7/23/2025 18:00,Eka Rahmawati,Manokwari,Celana Chino,"335,000",1,0,"335,000",0,"335,000","24,000","1,610,000",COD,,Toko Fashion App,4,L,Jersey,Pria
ORD00016,7/23/2025 18:00,Eka Rahmawati,Manokwari,Kemeja Formal,"315,000",1,0,"315,000",0,"315,000","24,000","1,610,000",COD,,Toko Fashion App,4,XL,Polyester,Pria
ORD00017,10/10/2025 9:11,Lestari Puspita,Samarinda,Gamis,"308,000",2,10,"616,000","61,600","554,400","17,000","704,600",Kartu Kredit,,FashionHub,3,XL,Nylon,Pria
ORD00017,10/10/2025 9:11,Lestari Puspita,Samarinda,Kaos Pendek,"148,000",1,10,"148,000","14,800","133,200","17,000","704,600",Kartu Kredit,,FashionHub,3,XL,Katun Twill,Pria
ORD00018,4/13/2025 15:10,Tono Ananda,Manado,Hijab,"104,000",4,0,"416,000",0,"416,000","22,000","1,247,000",Transfer Bank,,FashionHub,3,L,Twill,Pria
ORD00018,4/13/2025 15:10,Tono Ananda,Manado,Dress Formal,"809,000",1,0,"809,000",0,"809,000","22,000","1,247,000",Transfer Bank,,StyleMart,5,XXL,Satin,Wanita
ORD00019,5/25/2025 20:05,Qori Utami,Banda Aceh,Jaket Bomber,"313,000",2,0,"626,000",0,"626,000","24,000","1,622,000",Transfer Bank,,StyleMart,5,L,Jersey,Pria
ORD00019,5/25/2025 20:05,Qori Utami,Banda Aceh,Celana Chino,"191,000",2,0,"382,000",0,"382,000","24,000","1,622,000",Transfer Bank,,FashionKita,3,L,Ceruty,Wanita
ORD00019,5/25/2025 20:05,Qori Utami,Banda Aceh,Kemeja Casual,"295,000",2,0,"590,000",0,"590,000","24,000","1,622,000",Transfer Bank,,FashionKita,3,L,Satin,Wanita
ORD00020,9/29/2025 12:15,Bella Utami,Wamena,Rok Midi,"371,000",3,0,"1,113,000",0,"1,113,000","24,000","1,708,000",Kartu Kredit,,Toko Fashion App,1,XL,Polyester,Pria
ORD00020,9/29/2025 12:15,Bella Utami,Wamena,Dress Formal,"385,000",1,0,"385,000",0,"385,000","24,000","1,708,000",Kartu Kredit,,Toko Fashion App,1,S,Twill,Pria
ORD00020,9/29/2025 12:15,Bella Utami,Wamena,Kemeja Casual,"186,000",1,0,"186,000",0,"186,000","24,000","1,708,000",Kartu Kredit,,Toko Fashion App,1,L,Linen,Pria
ORD00021,12/9/2025 18:14,Dewi Pradipta,Bengkulu,Legging,"209,000",2,0,"418,000",0,"418,000","24,000","1,872,000",Kartu Kredit,,StyleMart,3,L,Katun,Wanita
ORD00021,12/9/2025 18:14,Dewi Pradipta,Bengkulu,Kaos Polo,"160,000",2,0,"320,000",0,"320,000","24,000","1,872,000",Kartu Kredit,,StyleMart,3,XXL,Silk Blend,Wanita
ORD00021,12/9/2025 18:14,Dewi Pradipta,Bengkulu,Jaket Denim,"555,000",2,0,"1,110,000",0,"1,110,000","24,000","1,872,000",Kartu Kredit,,StyleMart,3,XL,Chambray,Pria
ORD00022,6/5/2025 20:51,Zahra Rahmawati,Manado,Dress Casual,"402,000",2,0,"804,000",0,"804,000","22,000","1,202,000",Kartu Kredit,,StyleMart,1,L,Polyester,Wanita
ORD00022,6/5/2025 20:51,Zahra Rahmawati,Manado,Kaos Pendek,"94,000",4,0,"376,000",0,"376,000","22,000","1,202,000",Kartu Kredit,,StyleMart,1,XXL,Katun Pique,Pria
ORD00023,5/30/2025 19:07,Indra Rahmawati,Pangkalpinang,Celana Chino,"226,000",2,0,"452,000",0,"452,000","27,000","1,724,000",e-Wallet,,StyleMart,1,L,Denim,Pria
ORD00023,5/30/2025 19:07,Indra Rahmawati,Pangkalpinang,Jaket Bomber,"481,000",1,0,"481,000",0,"481,000","27,000","1,724,000",e-Wallet,,Toko Fashion App,3,XL,Viscose,Wanita
ORD00023,5/30/2025 19:07,Indra Rahmawati,Pangkalpinang,Celana Jeans,"580,000",1,0,"580,000",0,"580,000","27,000","1,724,000",e-Wallet,,Toko Fashion App,3,S,Jersey,Pria
ORD00023,5/30/2025 19:07,Indra Rahmawati,Pangkalpinang,Kaos Pendek,"92,000",2,0,"184,000",0,"184,000","27,000","1,724,000",e-Wallet,,OutfitNow,2,M,Katun,Pria
ORD00024,11/10/2025 11:19,Dina Kusuma,Wamena,Kaos Pendek,"95,000",4,0,"380,000",0,"380,000","24,000","1,664,000",Kartu Kredit,,OutfitNow,2,XXL,Scuba,Pria
ORD00024,11/10/2025 11:19,Dina Kusuma,Wamena,Hoodie,"372,000",2,0,"744,000",0,"744,000","24,000","1,664,000",Kartu Kredit,,OutfitNow,2,L,Stretch Denim,Pria
ORD00024,11/10/2025 11:19,Dina Kusuma,Wamena,Hijab,"129,000",4,0,"516,000",0,"516,000","24,000","1,664,000",Kartu Kredit,,OutfitNow,2,L,Cotton Combed,Pria
ORD00025,2/26/2025 12:52,Fajar Puspita,Sorong,Hijab,"43,000",2,0,"86,000",0,"86,000","17,000","273,000",Transfer Bank,,FashionKita,4,L,Katun,Pria
ORD00025,2/26/2025 12:52,Fajar Puspita,Sorong,Kaos Panjang,"170,000",1,0,"170,000",0,"170,000","17,000","273,000",Transfer Bank,,FashionKita,4,L,Fleece,Pria
ORD00026,6/10/2025 20:25,Indra Halim,Sorong,Kemeja Formal,"211,000",1,0,"211,000",0,"211,000","27,000","1,350,000",Kartu Kredit,,FashionKita,4,XXL,Polyester,Wanita
ORD00026,6/10/2025 20:25,Indra Halim,Sorong,Kaos Panjang,"104,000",3,0,"312,000",0,"312,000","27,000","1,350,000",Kartu Kredit,,StyleMart,2,M,Voal,Wanita
ORD00026,6/10/2025 20:25,Indra Halim,Sorong,Kaos Pendek,"144,000",4,0,"576,000",0,"576,000","27,000","1,350,000",Kartu Kredit,,StyleMart,2,L,Katun,Pria
ORD00026,6/10/2025 20:25,Indra Halim,Sorong,Cardigan,"224,000",1,0,"224,000",0,"224,000","27,000","1,350,000",Kartu Kredit,,FashionHub,4,XL,Linen,Pria
ORD00027,1/16/2025 21:10,Citra Maulana,Wamena,Legging,"178,000",3,0,"534,000",0,"534,000","17,000","804,000",Kartu Kredit,,FashionHub,4,S,Jersey,Pria
ORD00027,1/16/2025 21:10,Citra Maulana,Wamena,Kemeja Formal,"253,000",1,0,"253,000",0,"253,000","17,000","804,000",Kartu Kredit,,FashionHub,4,XL,Jersey,Pria
ORD00028,6/20/2025 13:09,Aulia Ananda,Surabaya,Celana Chino,"273,000",1,0,"273,000",0,"273,000","20,000","933,000",Transfer Bank,,FashionHub,4,L,Acrylic,Wanita
ORD00028,6/20/2025 13:09,Aulia Ananda,Surabaya,Cardigan,"410,000",1,0,"410,000",0,"410,000","20,000","933,000",Transfer Bank,,StyleMart,3,XXL,Spandex,Wanita
ORD00028,6/20/2025 13:09,Aulia Ananda,Surabaya,Kaos Pendek,"115,000",2,0,"230,000",0,"230,000","20,000","933,000",Transfer Bank,,StyleMart,3,XL,Linen,Pria
ORD00029,8/23/2025 14:52,Wahyu Fauziah,Wamena,Kaos Pendek,"130,000",1,0,"130,000",0,"130,000","27,000","1,789,000",e-Wallet,,FashionHub,1,XXL,Katun Twill,Pria
ORD00029,8/23/2025 14:52,Wahyu Fauziah,Wamena,Jaket Denim,"425,000",2,0,"850,000",0,"850,000","27,000","1,789,000",e-Wallet,,FashionHub,1,L,Acrylic,Wanita
ORD00029,8/23/2025 14:52,Wahyu Fauziah,Wamena,Gamis,"329,000",1,0,"329,000",0,"329,000","27,000","1,789,000",e-Wallet,,FashionHub,1,L,Cotton Combed,Pria
ORD00029,8/23/2025 14:52,Wahyu Fauziah,Wamena,Kaos Polo,"151,000",3,0,"453,000",0,"453,000","27,000","1,789,000",e-Wallet,,StyleMart,3,L,Cotton Combed,Pria
ORD00030,4/17/2025 16:20,Umar Setiawan,Jakarta,Jaket Denim,"544,000",1,0,"544,000",0,"544,000","22,000","1,208,000",e-Wallet,,StyleMart,3,L,Denim,Pria
ORD00030,4/17/2025 16:20,Umar Setiawan,Jakarta,Kemeja Casual,"321,000",2,0,"642,000",0,"642,000","22,000","1,208,000",e-Wallet,,StyleMart,3,XXL,Sutra,Wanita
ORD00031,10/4/2025 11:29,Citra Syahputra,Palembang,Celana Chino,"263,000",1,0,"263,000",0,"263,000","24,000","1,039,000",Transfer Bank,,StyleMart,3,XL,Katun Pique,Pria
ORD00031,10/4/2025 11:29,Citra Syahputra,Palembang,Dress Formal,"323,000",1,0,"323,000",0,"323,000","24,000","1,039,000",Transfer Bank,,Toko Fashion App,2,XL,Cotton,Pria
ORD00031,10/4/2025 11:29,Citra Syahputra,Palembang,Sweater,"429,000",1,0,"429,000",0,"429,000","24,000","1,039,000",Transfer Bank,,Toko Fashion App,2,XL,Katun,Pria
ORD00032,10/3/2025 17:59,Clara Iskandar,Tanjungpinang,Dress Casual,"299,000",2,0,"598,000",0,"598,000","24,000","1,393,000",Transfer Bank,,FashionKita,5,L,Katun,Pria
ORD00032,10/3/2025 17:59,Clara Iskandar,Tanjungpinang,Hijab,"47,000",3,0,"141,000",0,"141,000","24,000","1,393,000",Transfer Bank,,FashionKita,5,S,Satin,Wanita
ORD00032,10/3/2025 17:59,Clara Iskandar,Tanjungpinang,Kemeja Casual,"210,000",3,0,"630,000",0,"630,000","24,000","1,393,000",Transfer Bank,,FashionKita,5,L,Knitted,Pria
ORD00033,8/9/2025 16:53,Rizky Ramadhani,Mataram,Dress Formal,"380,000",1,0,"380,000",0,"380,000","17,000","943,000",e-Wallet,,Toko Fashion App,5,L,Viscose,Wanita
ORD00033,8/9/2025 16:53,Rizky Ramadhani,Mataram,Hoodie,"273,000",2,0,"546,000",0,"546,000","17,000","943,000",e-Wallet,,Toko Fashion App,5,XL,Ceruty,Wanita
ORD00034,5/15/2025 9:27,Erna Pradipta,Banjarbaru,Kaos Pendek,"110,000",2,0,"220,000",0,"220,000","27,000","1,971,000",Kartu Kredit,,Toko Fashion App,5,S,Linen,Pria
ORD00034,5/15/2025 9:27,Erna Pradipta,Banjarbaru,Sweater,"360,000",2,0,"720,000",0,"720,000","27,000","1,971,000",Kartu Kredit,,StyleMart,4,L,Satin,Wanita
ORD00034,5/15/2025 9:27,Erna Pradipta,Banjarbaru,Jaket Bomber,"380,000",2,0,"760,000",0,"760,000","27,000","1,971,000",Kartu Kredit,,StyleMart,4,XXL,Fleece,Pria
ORD00034,5/15/2025 9:27,Erna Pradipta,Banjarbaru,Hijab,"61,000",4,0,"244,000",0,"244,000","27,000","1,971,000",Kartu Kredit,,FashionHub,3,M,Jersey,Pria
ORD00035,10/12/2025 17:28,Aulia Kusuma,Surabaya,Dress Formal,"893,000",1,0,"893,000",0,"893,000","27,000","2,060,000",Transfer Bank,,FashionHub,3,XL,Acrylic,Pria
ORD00035,10/12/2025 17:28,Aulia Kusuma,Surabaya,Cardigan,"193,000",1,0,"193,000",0,"193,000","27,000","2,060,000",Transfer Bank,,FashionHub,3,XL,Scuba,Pria
ORD00035,10/12/2025 17:28,Aulia Kusuma,Surabaya,Kaos Polo,"141,000",3,0,"423,000",0,"423,000","27,000","2,060,000",Transfer Bank,,FashionHub,3,XL,Ceruty,Wanita
ORD00035,10/12/2025 17:28,Aulia Kusuma,Surabaya,Kaos Pendek,"131,000",4,0,"524,000",0,"524,000","27,000","2,060,000",Transfer Bank,,Toko Fashion App,2,XL,Silk Blend,Wanita
ORD00036,3/16/2025 21:03,Rizky Puspita,Merauke,Kemeja Formal,"231,000",2,0,"462,000",0,"462,000","24,000","2,250,000",Transfer Bank,,Toko Fashion App,2,M,Wool,Wanita
ORD00036,3/16/2025 21:03,Rizky Puspita,Merauke,Jaket Denim,"493,000",2,0,"986,000",0,"986,000","24,000","2,250,000",Transfer Bank,,Toko Fashion App,2,M,Katun Pique,Pria
ORD00036,3/16/2025 21:03,Rizky Puspita,Merauke,Dress Casual,"389,000",2,0,"778,000",0,"778,000","24,000","2,250,000",Transfer Bank,,Toko Fashion App,2,M,Katun,Pria
ORD00037,10/18/2025 15:21,Andi Setiawan,Samarinda,Dress Casual,"408,000",2,0,"816,000",0,"816,000","24,000","2,362,000",COD,,Toko Fashion App,1,L,Katun Oxford,Pria
ORD00037,10/18/2025 15:21,Andi Setiawan,Samarinda,Gamis,"563,000",2,0,"1,126,000",0,"1,126,000","24,000","2,362,000",COD,,Toko Fashion App,1,L,Denim,Pria
ORD00037,10/18/2025 15:21,Andi Setiawan,Samarinda,Kaos Pendek,"132,000",3,0,"396,000",0,"396,000","24,000","2,362,000",COD,,Toko Fashion App,1,M,Katun,Wanita
ORD00038,5/9/2025 20:26,Galih Iskandar,Wamena,Kaos Panjang,"105,000",2,0,"210,000",0,"210,000","24,000","1,970,000",Kartu Kredit,,Toko Fashion App,1,XL,Viscose,Wanita
ORD00038,5/9/2025 20:26,Galih Iskandar,Wamena,Rok Midi,"380,000",3,0,"1,140,000",0,"1,140,000","24,000","1,970,000",Kartu Kredit,,Toko Fashion App,1,L,Woolpeach,Wanita
ORD00038,5/9/2025 20:26,Galih Iskandar,Wamena,Hoodie,"298,000",2,0,"596,000",0,"596,000","24,000","1,970,000",Kartu Kredit,,Toko Fashion App,1,L,Jersey,Pria
ORD00039,2/2/2025 18:23,Kartika Fauziah,Jayapura,Kaos Pendek,"83,000",1,10,"83,000","8,300","74,700","22,000","720,400",COD,,StyleMart,5,XXL,Katun,Pria
ORD00039,2/2/2025 18:23,Kartika Fauziah,Jayapura,Legging,"226,000",1,10,"226,000","22,600","203,400","22,000","720,400",COD,,StyleMart,5,L,Polyester,Wanita
ORD00039,2/2/2025 18:23,Kartika Fauziah,Jayapura,Celana Chino,"205,000",1,10,"205,000","20,500","184,500","22,000","720,400",COD,,StyleMart,5,S,Cotton Combed,Pria
ORD00039,2/2/2025 18:23,Kartika Fauziah,Jayapura,Jaket Denim,"262,000",1,10,"262,000","26,200","235,800","22,000","720,400",COD,,StyleMart,4,S,Jersey,Pria
ORD00040,4/6/2025 15:57,Tono Hidayat,Medan,Jaket Denim,"391,000",1,0,"391,000",0,"391,000","17,000","870,000",e-Wallet,,StyleMart,4,L,Nylon,Wanita
ORD00040,4/6/2025 15:57,Tono Hidayat,Medan,Kaos Panjang,"154,000",3,0,"462,000",0,"462,000","17,000","870,000",e-Wallet,,StyleMart,4,XL,Katun,Pria
ORD00041,11/13/2025 15:18,Hana Wijaya,Pangkalpinang,Gamis,"750,000",2,0,"1,500,000",0,"1,500,000","24,000","2,744,000",COD,,StyleMart,4,S,Chambray,Pria
ORD00041,11/13/2025 15:18,Hana Wijaya,Pangkalpinang,Kaos Pendek,"134,000",4,0,"536,000",0,"536,000","24,000","2,744,000",COD,,StyleMart,1,M,Chambray,Pria
ORD00041,11/13/2025 15:18,Hana Wijaya,Pangkalpinang,Celana Chino,"342,000",2,0,"684,000",0,"684,000","24,000","2,744,000",COD,,StyleMart,1,XL,Jersey,Pria
ORD00042,11/23/2025 10:36,Zahra Utami,Ambon,Celana Pendek,"157,000",3,0,"471,000",0,"471,000","27,000","1,733,000",Kartu Kredit,,FashionKita,5,XL,Sutra,Wanita
ORD00042,11/23/2025 10:36,Zahra Utami,Ambon,Hoodie,"385,000",1,0,"385,000",0,"385,000","27,000","1,733,000",Kartu Kredit,,FashionKita,5,M,Jersey,Pria
ORD00042,11/23/2025 10:36,Zahra Utami,Ambon,Cardigan,"291,000",2,0,"582,000",0,"582,000","27,000","1,733,000",Kartu Kredit,,FashionKita,5,L,Katun Twill,Pria
ORD00042,11/23/2025 10:36,Zahra Utami,Ambon,Kemeja Formal,"268,000",1,0,"268,000",0,"268,000","27,000","1,733,000",Kartu Kredit,,FashionKita,1,S,Jersey,Pria
ORD00043,3/13/2025 8:19,Clara Setiawan,Palangka Raya,Kaos Panjang,"171,000",1,0,"171,000",0,"171,000","27,000","1,817,000",Kartu Kredit,,FashionKita,1,S,Cotton Combed,Pria
ORD00043,3/13/2025 8:19,Clara Setiawan,Palangka Raya,Blouse,"287,000",3,0,"861,000",0,"861,000","27,000","1,817,000",Kartu Kredit,,FashionKita,1,XL,Knitted,Wanita
ORD00043,3/13/2025 8:19,Clara Setiawan,Palangka Raya,Legging,"210,000",1,0,"210,000",0,"210,000","27,000","1,817,000",Kartu Kredit,,FashionKita,1,XXL,Katun Oxford,Pria
ORD00043,3/13/2025 8:19,Clara Setiawan,Palangka Raya,Cardigan,"274,000",2,0,"548,000",0,"548,000","27,000","1,817,000",Kartu Kredit,,OutfitNow,3,L,Cotton Combed,Pria
ORD00044,10/22/2025 20:52,Yani Kusuma,Pangkalpinang,Kemeja Formal,"295,000",1,0,"295,000",0,"295,000","20,000","731,000",Transfer Bank,,OutfitNow,3,XXL,Rayon,Wanita
ORD00044,10/22/2025 20:52,Yani Kusuma,Pangkalpinang,Legging,"129,000",2,0,"258,000",0,"258,000","20,000","731,000",Transfer Bank,,OutfitNow,3,L,Polyester,Wanita
ORD00044,10/22/2025 20:52,Yani Kusuma,Pangkalpinang,Kaos Pendek,"79,000",2,0,"158,000",0,"158,000","20,000","731,000",Transfer Bank,,OutfitNow,3,XL,Wool,Wanita
ORD00045,7/8/2025 8:52,Clara Iskandar,Wamena,Legging,"175,000",3,0,"525,000",0,"525,000","27,000","2,709,000",e-Wallet,,Toko Fashion App,5,S,Linen,Pria
ORD00045,7/8/2025 8:52,Clara Iskandar,Wamena,Blouse,"320,000",3,0,"960,000",0,"960,000","27,000","2,709,000",e-Wallet,,Toko Fashion App,5,XL,Spandex,Wanita
ORD00045,7/8/2025 8:52,Clara Iskandar,Wamena,Cardigan,"313,000",2,0,"626,000",0,"626,000","27,000","2,709,000",e-Wallet,,Toko Fashion App,5,XL,Cotton Combed,Pria
ORD00045,7/8/2025 8:52,Clara Iskandar,Wamena,Dress Formal,"571,000",1,0,"571,000",0,"571,000","27,000","2,709,000",e-Wallet,,OutfitNow,1,XL,Spandex,Wanita
ORD00046,7/6/2025 17:34,Aulia Fauziah,Semarang,Celana Jeans,"430,000",1,0,"430,000",0,"430,000","27,000","1,941,000",Transfer Bank,,OutfitNow,1,M,Rayon,Wanita
ORD00046,7/6/2025 17:34,Aulia Fauziah,Semarang,Blouse,"344,000",1,0,"344,000",0,"344,000","27,000","1,941,000",Transfer Bank,,OutfitNow,1,M,Knitted,Wanita
ORD00046,7/6/2025 17:34,Aulia Fauziah,Semarang,Gamis,"249,000",2,0,"498,000",0,"498,000","27,000","1,941,000",Transfer Bank,,OutfitNow,1,L,Satin,Wanita
ORD00046,7/6/2025 17:34,Aulia Fauziah,Semarang,Dress Casual,"321,000",2,0,"642,000",0,"642,000","27,000","1,941,000",Transfer Bank,,FashionHub,1,XXL,Denim,Pria
ORD00047,10/21/2025 15:14,Aulia Utami,Jakarta,Dress Formal,"864,000",1,0,"864,000",0,"864,000","24,000","1,845,000",Transfer Bank,,FashionHub,1,M,Viscose,Wanita
ORD00047,10/21/2025 15:14,Aulia Utami,Jakarta,Kaos Polo,"189,000",3,0,"567,000",0,"567,000","24,000","1,845,000",Transfer Bank,,FashionHub,1,XL,Sutra,Wanita
